Ethnicity,Subject,TestScorePercentage,StateTestPercentage,gsid
Black,Math,31,18,31160
Filipino,Math,15,57,31160
All students,Science,55,55,31160
Hispanic,Science,48,44,31160
White,Science,56,76,31160
All students,Math,74,37,6158
White,Math,76,53,6158
Hispanic,Math,67,24,6158
Asian,Math,79,72,6158
Two or more races,Math,80,52,6158
All students,English,77,48,6158
White,English,78,64,6158
Hispanic,English,72,37,6158
Asian,English,81,75,6158
Two or more races,English,80,63,6158
All students,Science,96,53,6158
White,Science,96,74,6158
Hispanic,Science,95,40,6158
All students,Math,55,37,31024
Hispanic,Math,44,24,31024
Filipino,Math,71,57,31024
White,Math,64,53,31024
Black,Math,49,18,31024
Two or more races,Math,63,52,31024
Asian,Math,75,72,31024
All students,English,63,48,31024
Hispanic,English,52,37,31024
Filipino,English,74,70,31024
White,English,72,64,31024
Black,English,57,31,31024
Two or more races,English,80,63,31024
Asian,English,79,75,31024
All students,Science,64,53,31024
Hispanic,Science,52,40,31024
Filipino,Science,77,72,31024
White,Science,82,74,31024
All students,Math,55,37,5825
Hispanic,Math,50,24,5825
White,Math,63,53,5825
Filipino,Math,68,57,5825
Two or more races,Math,69,52,5825
Asian,Math,69,72,5825
Black,Math,41,18,5825
All students,English,59,48,5825
Hispanic,English,54,37,5825
White,English,68,64,5825
Filipino,English,71,70,5825
Two or more races,English,67,63,5825
Asian,English,69,75,5825
Black,English,50,31,5825
All students,Science,82,53,5825
Hispanic,Science,77,40,5825
White,Science,86,74,5825
All students,English,39,48,17607
Hispanic,English,36,37,17607
Black,English,48,31,17607
Asian,English,42,75,17607
All students,Math,34,37,17607
Hispanic,Math,29,24,17607
Black,Math,46,18,17607
Asian,Math,57,72,17607
All students,Science,68,53,17607
Hispanic,Science,68,40,17607
Asian,Science,67,78,17607
All students,Math,16,37,6164
Hispanic,Math,16,24,6164
All students,English,25,48,6164
Hispanic,English,24,37,6164
All students,Science,36,53,6164
Hispanic,Science,36,40,6164
All students,Math,39,37,5830
Hispanic,Math,35,24,5830
White,Math,63,53,5830
All students,English,57,48,5830
Hispanic,English,53,37,5830
White,English,79,64,5830
All students,Science,51,53,5830
Hispanic,Science,46,40,5830
All students,Math,16,37,6172
Hispanic,Math,15,24,6172
Black,Math,11,18,6172
Two or more races,Math,40,52,6172
All students,English,24,48,6172
Hispanic,English,23,37,6172
Black,English,13,31,6172
Two or more races,English,40,63,6172
All students,Science,36,57,6172
Hispanic,Science,35,44,6172
Black,Science,54,43,6172
All students,English,63,48,6182
Hispanic,English,58,37,6182
White,English,85,64,6182
Black,English,47,31,6182
Two or more races,English,66,63,6182
Asian,English,73,75,6182
All students,Math,40,37,6182
Hispanic,Math,34,24,6182
White,Math,63,53,6182
Black,Math,24,18,6182
Two or more races,Math,50,52,6182
Asian,Math,36,72,6182
All students,Science,85,57,6182
Hispanic,Science,85,44,6182
White,Science,91,74,6182
Black,Science,74,40,6182
Two or more races,Science,92,72,6182
All students,English,35,48,5944
White,English,43,64,5944
Hispanic,English,23,37,5944
Two or more races,English,47,63,5944
Black,English,33,31,5944
All students,Math,24,37,5944
White,Math,31,53,5944
Hispanic,Math,14,24,5944
Two or more races,Math,20,52,5944
Black,Math,25,18,5944
All students,Science,52,53,5944
White,Science,54,74,5944
Hispanic,Science,44,40,5944
All students,Math,21,37,5815
White,Math,20,53,5815
Hispanic,Math,20,24,5815
Black,Math,16,18,5815
Asian,Math,31,72,5815
All students,English,24,48,5815
White,English,26,64,5815
Hispanic,English,21,37,5815
Black,English,25,31,5815
All students,Science,20,53,5815
White,Science,23,74,5815
Hispanic,Science,15,40,5815
All students,Math,21,37,5968
Hispanic,Math,15,24,5968
White,Math,34,53,5968
Black,Math,19,18,5968
Two or more races,Math,25,52,5968
Filipino,Math,53,57,5968
All students,English,28,48,5968
Hispanic,English,19,37,5968
White,English,60,64,5968
Black,English,25,31,5968
Two or more races,English,21,63,5968
Filipino,English,53,70,5968
All students,Science,35,53,5968
Hispanic,Science,19,40,5968
All students,Math,40,37,5841
Hispanic,Math,39,24,5841
Filipino,Math,60,57,5841
All students,English,51,48,5841
Hispanic,English,50,37,5841
Filipino,English,73,70,5841
All students,Science,77,53,5841
Hispanic,Science,74,40,5841
All students,Math,14,37,6288
Hispanic,Math,11,24,6288
Filipino,Math,42,57,6288
White,Math,16,53,6288
Two or more races,Math,26,52,6288
Black,Math,7,18,6288
All students,English,31,48,6288
Hispanic,English,27,37,6288
Filipino,English,60,70,6288
White,English,36,64,6288
Two or more races,English,59,63,6288
Black,English,30,31,6288
All students,Science,23,61,6288
Hispanic,Science,19,49,6288
Filipino,Science,50,79,6288
White,Science,41,78,6288
Two or more races,Science,33,75,6288
Black,Science,20,43,6288
All students,Math,27,37,5951
Hispanic,Math,25,24,5951
Black,Math,21,18,5951
White,Math,43,53,5951
Two or more races,Math,21,52,5951
All students,English,37,48,5951
Hispanic,English,37,37,5951
Black,English,29,31,5951
White,English,43,64,5951
Two or more races,English,43,63,5951
All students,Science,46,53,5951
Hispanic,Science,46,40,5951
All students,Math,28,37,5996
Hispanic,Math,29,24,5996
All students,English,35,48,5996
